Name,Year Drafted,GP,MIN,PTS,FGM,FGA,3P Made,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,Last 5 Years?
A.J. Price,2009,56,15.4,7.3,2.6,6.3,1.1,3.1,1.1,1.3,0.2,1.4,1.6,1.9,0.6,0.1,1.1,1
Jordan Hill,2009,47,13.3,5.2,2.1,4.3,0,0,1,1.4,1.6,2.1,3.7,0.4,0.3,0.5,0.6,1
Austin Daye,2009,69,13.3,5.1,2,4.3,0.4,1.4,0.7,0.8,0.5,2,2.5,0.5,0.4,0.4,0.7,1
Garrett Temple,2009,27,12.4,5,1.6,3.7,0.5,1.4,1.3,1.9,0.2,0.9,1.1,0.8,0.5,0.2,1,1
Jodie Meeks,2009,60,12,4.7,1.7,4.5,0.7,2.2,0.5,0.7,0.1,1.5,1.6,0.7,0.3,0.1,0.4,1
James Johnson,2009,65,11.6,3.9,1.5,3.2,0.2,0.7,0.8,1.1,0.5,1.4,2,0.7,0.3,0.7,0.9,1
Dante Cunningham,2009,63,11.2,3.9,1.7,3.4,0,0,0.5,0.8,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1
DeMarre Carroll,2009,71,11.2,2.9,1.2,3.1,0,0.1,0.5,0.7,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1
Jeff Ayres,2009,39,10.4,2.7,1.1,1.7,0,0,0.5,0.5,0.6,1.9,2.5,0,0.2,0.4,0.3,1
Jeff Teague,2009,71,10.1,3.2,1.3,3.2,0.1,0.5,0.6,0.7,0.1,0.9,0.9,1.7,0.5,0.1,0.7,1
Gerald Henderson,2009,43,8.3,2.6,0.9,2.4,0.1,0.4,0.8,1.1,0.3,0.9,1.3,0.3,0.2,0.2,0.3,1
Earl Clark,2009,51,7.5,2.7,1.1,3,0,0.1,0.5,0.7,0.4,0.9,1.2,0.4,0.1,0.3,0.5,1
Greg Oden,2008,61,21.5,8.9,3.2,5.8,0,0,2.4,3.7,2.8,4.2,7,0.5,0.4,1.1,1.4,0
Kyle Weaver,2008,56,20.8,5.3,2,4.4,0.6,1.7,0.7,1,0.6,1.8,2.3,1.8,0.8,0.5,1.2,0
Mike Taylor,2008,51,15.1,5.7,2.2,5.2,0.3,0.8,1.1,1.6,0.4,1.3,1.7,2.1,0.7,0,1.4,0
Bobby Brown,2008,68,13.7,5.3,2.1,5.3,0.7,1.9,0.5,0.6,0.2,0.6,0.8,1.7,0.3,0,0.9,0
Rob Kurz,2008,40,11.1,3.9,1.3,3.3,0.4,1,1,1.3,0.8,1.2,2,0.5,0.3,0.5,0.4,0
Darnell Jackson,2008,51,8.4,1.9,0.7,1.7,0,0,0.5,0.7,0.6,1.1,1.7,0.2,0.2,0.1,0.3,0
Sean Singletary,2008,37,8.2,2.4,0.8,2.3,0.3,0.7,0.5,0.6,0.3,0.7,0.9,0.8,0.3,0,0.6,0
O.J. Mayo,2008,82,38,18.5,6.9,15.6,1.8,4.6,3,3.4,0.7,3.1,3.8,3.2,1.1,0.2,2.8,1
Derrick Rose,2008,81,37,16.8,7.1,14.9,0.2,0.9,2.4,3.1,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1
Eric Gordon,2008,78,34.3,16.1,5.3,11.6,1.7,4.3,3.8,4.5,0.6,2,2.6,2.8,1,0.5,2.1,1
Russell Westbrook,2008,82,32.5,15.3,5.3,13.4,0.4,1.6,4.3,5.2,2.2,2.7,4.9,5.3,1.3,0.2,3.3,1
Mario Chalmers,2008,82,32,10,3.4,8.1,1.4,3.8,1.8,2.4,0.5,2.3,2.8,4.9,1.9,0.1,2,1
Brook Lopez,2008,82,30.5,13,5.5,10.3,0,0,2.1,2.6,2.7,5.4,8.1,1,0.5,1.8,1.8,1
Jason Thompson,2008,82,28.1,11.1,4.3,8.7,0,0.1,2.4,3.5,2.9,4.5,7.4,1.1,0.6,0.7,1.8,1
D.J. Augustin,2008,72,26.5,11.8,3.7,8.6,1.5,3.4,2.9,3.2,0.2,1.6,1.8,3.5,0.6,0,1.6,1
Kevin Love,2008,81,25.3,11.1,3.9,8.5,0,0.2,3.3,4.1,3.4,5.7,9.1,1,0.4,0.6,1.5,1
Courtney Lee,2008,77,25.2,8.4,3.2,7,1.1,2.6,1,1.2,0.2,2.1,2.3,1.2,1,0.2,0.9,1
Michael Beasley,2008,81,24.8,13.9,5.6,11.8,0.4,1,2.3,3,1.4,4.1,5.4,1,0.5,0.5,1.5,1
Brandon Rush,2008,75,24,8.1,3.2,7.7,1,2.8,0.6,0.9,0.5,2.7,3.1,0.9,0.5,0.5,1,1
Anthony Morrow,2008,67,22.6,10.1,3.8,8,1.3,2.7,1.2,1.4,1.2,1.8,3,1.2,0.5,0.2,0.8,1
Ryan Anderson,2008,66,19.9,7.4,2.4,6.2,1,2.9,1.5,1.8,1.6,3.1,4.7,0.8,0.7,0.3,0.9,1
Darrell Arthur,2008,76,19.3,5.6,2.5,5.7,0,0,0.5,0.8,1.4,3.1,4.6,0.6,0.7,0.7,0.6,1
George Hill,2008,77,16.5,5.7,1.9,4.8,0.3,0.9,1.5,1.9,0.4,1.7,2.1,1.8,0.6,0.3,1,1
Marreese Speights,2008,79,16,7.7,3.2,6.4,0,0.1,1.3,1.7,1.6,2.2,3.7,0.4,0.3,0.7,0.6,1
JaVale McGee,2008,75,15.2,6.5,2.5,5.2,0,0,1.4,2.2,1.6,2.3,3.9,0.3,0.4,1,0.8,1
DeAndre Jordan,2008,53,14.5,4.3,1.8,2.8,0,0,0.8,2.1,1.4,3.1,4.5,0.2,0.2,1.1,0.8,1
Roy Hibbert,2008,70,14.4,7.1,2.8,6,0,0,1.4,2.1,1.6,1.8,3.5,0.7,0.3,1.1,0.8,1
Chris Douglas-Roberts,2008,44,13.3,4.9,1.8,4,0.1,0.3,1.2,1.4,0.3,0.8,1.1,1.2,0.3,0.2,0.7,1
Jerryd Bayless,2008,53,12.4,4.3,1.3,3.6,0.1,0.5,1.6,1.9,0.2,0.9,1.1,1.5,0.3,0,1.1,1
Kosta Koufos,2008,48,11.8,4.7,2,3.9,0,0,0.8,1.1,1,1.8,2.9,0.4,0.3,0.7,0.5,1
Anthony Tolliver,2008,19,10.9,2.7,1,3.4,0.5,2.2,0.3,0.5,0.6,1.5,2.2,0.9,0.3,0.1,0.4,1
Robin Lopez,2008,60,10.2,3.1,1.2,2.3,0,0,0.8,1.1,0.9,1.1,2,0.1,0.2,0.7,0.5,1
Al Thornton,2007,79,27.3,12.7,4.7,11,0.5,1.6,2.7,3.6,1.2,3.3,4.5,1.2,0.6,0.5,1.6,0
Sean Williams,2007,73,17.5,5.6,2.2,4.2,0,0,1.1,1.8,1.6,2.8,4.4,0.4,0.4,1.4,1,0
Acie Law,2007,56,15.4,4.2,1.7,4.2,0.1,0.6,0.7,0.9,0.2,0.8,1,2,0.5,0,1,0
Javaris Crittenton,2007,50,13.6,5.6,2,4.7,0.2,0.7,1.4,2.1,0.5,1.7,2.2,1,0.4,0,1.1,0
Julian Wright,2007,57,11.2,3.9,1.6,3,0.2,0.4,0.6,0.9,0.6,1.5,2.1,0.7,0.5,0.2,0.6,0
Chris Richard,2007,52,10.7,1.9,0.8,1.7,0,0,0.3,0.5,1,1.6,2.6,0.3,0.2,0.2,0.5,0
Nick Fazekas,2007,26,10.3,4.1,1.8,3.2,0,0.1,0.6,0.8,1.3,2.1,3.4,0.4,0.3,0.4,0.5,0
Jermareo Davidson,2007,38,8.5,3.2,1.3,3.3,0,0,0.5,0.7,0.6,1.1,1.6,0.3,0.2,0.4,0.5,0
Mario West,2007,64,4.2,0.9,0.3,0.8,0,0.1,0.3,0.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,0
Demetris Nichols,2007,14,3.1,1.1,0.4,1.6,0.2,0.9,0,0,0,0.4,0.4,0.1,0,0.2,0.3,0
Kevin Durant,2007,80,34.6,20.3,7.3,17.1,0.7,2.6,4.9,5.6,0.9,3.5,4.3,2.4,1,0.9,2.9,1
Jeff Green,2007,80,28.2,10.5,4,9.4,0.3,1,2.2,3,1.3,3.5,4.7,1.5,0.6,0.6,2,1
Jamario Moon,2007,78,27.8,8.5,3.6,7.4,0.5,1.6,0.8,1.1,1.2,5,6.2,1.2,1,1.4,0.7,1
Mike Conley,2007,53,26.1,9.4,3.6,8.3,0.6,1.7,1.7,2.3,0.4,2.2,2.6,4.2,0.8,0,1.7,1
Daequan Cook,2007,59,24.4,8.8,3.3,8.7,1.3,4,0.8,1,0.3,2.7,3,1.3,0.4,0.1,1.1,1
Corey Brewer,2007,79,22.8,5.8,2.3,6.2,0.1,0.5,1.1,1.4,1,2.7,3.7,1.4,1,0.3,1.1,1
Thaddeus Young,2007,74,21,8.2,3.6,6.6,0.1,0.3,1,1.4,1.6,2.6,4.2,0.8,1,0.1,0.9,1
Joakim Noah,2007,74,20.7,6.6,2.4,5,0,0,1.8,2.6,2.4,3.3,5.6,1.1,0.9,0.9,1.2,1
